title,revid,keep
Australia–Cook Islands relations,1310098782,KEPT
China–Cook Islands relations,1297955195,KEPT
Cook Islands–India relations,1266282472,KEPT
Cook Islands–New Zealand relations,1322563286,KEPT
Operation Blue Pacific,1305812188,KEPT
Operation Kurukuru,1314328083,KEPT
U.S. Bilateral Maritime Law Enforcement Agreements with Pacific Island Countries,1324626490,KEPT
Cook Islands–United Kingdom relations,1309564962,KEPT
Cook Islands–United States relations,1307311484,KEPT
Greenland–United Kingdom relations,1319295052,KEPT
Australia–Hong Kong relations,1322071489,KEPT
Canada–Hong Kong relations,1314416964,KEPT
France–Hong Kong relations,1284761708,KEPT
Georgia–Hong Kong relations,1317173984,KEPT
Germany–Hong Kong relations,1315143016,KEPT
Hong Kong–Israel relations,1315148002,KEPT
Hong Kong–mainland China relations,1323178851,KEPT
Hong Kong–Indonesia relations,1313691686,KEPT
Hong Kong–North Korea relations,1316103841,KEPT
Hong Kong–Liechtenstein relations,1315296723,KEPT
Hong Kong–Macau relations,1321648024,KEPT
Hong Kong–Malaysia relations,1283024659,KEPT
Hong Kong–Maldives relations,1181776981,KEPT
Hong Kong–Namibia relations,1324440251,KEPT
Hong Kong–Nicaragua relations,1321501638,KEPT
Hong Kong–Pakistan relations,1311899414,KEPT
Hong Kong–Peru relations,1167727309,KEPT
Hong Kong–Philippines relations,1315148109,KEPT
Hong Kong–Qatar relations,1316323322,KEPT
Hong Kong–Singapore relations,1324825389,KEPT
Hong Kong–South Africa relations,1311450164,KEPT
Hong Kong–Spain relations,1315148141,KEPT
Hong Kong–Switzerland relations,1323157229,KEPT
Hong Kong–Thailand relations,1319102113,KEPT
Hong Kong–United Kingdom relations,1284553999,KEPT
Hong Kong–United States relations,1324285173,KEPT
Hong Kong–Macau relations,1321648024,KEPT
Macau–mainland China relations,1305016446,KEPT
Macau–Taiwan relations,1315204878,KEPT
Macau–Peru relations,1167727095,KEPT
Macau–United States relations,1074064779,KEPT
China–Niue relations,1298047034,KEPT
India–Niue relations,1255926650,KEPT
New Zealand–Niue relations,1322563593,KEPT
Niue–United Kingdom relations,1311544211,KEPT
Duchy of Parma–United States relations,1196875172,KEPT
Grand Duchy of Tuscany–United States relations,1307098477,KEPT
Papal States–United States relations,1314582141,KEPT
Armenia–Artsakh relations,1306703087,KEPT
Artsakh–Transnistria relations,1319221089,KEPT
Artsakh–United States relations,1318084317,KEPT
